species,sex,weight,season,date_collected,plot 
dm,f,NA,2013,7/16/13,2
dm,m,33,2013,7/16/13,7
dm,m,NA,2013,7/16/13,1
dm,m,NA,2013,7/16/13,3
dm,f,29,2013,7/18/13,4
dm,f,37,2013,7/18/13,6
dm,m,40,2013,7/18/13,3
dm,m,48,2013,7/18/13,7
dm,f,37,2014,1/8/78,4
dm,f,48,2014,1/8/78,4
dm,m,NA,2014,1/8/78,4
dm,m,44,2014,1/8/14,2
dm,m,45,2014,1/8/14,2
dm,f,36,2014,1/9/14,1
dm,m,40,2014,1/9/14,1
dm,m,52,2014,2/18/14,2
dm,f,44,2014,3/13/14,1
dm,f,51,2014,3/13/14,1
do,f,52,2013,8/19/13,8
do,f,33,2013,10/17/13,3
do,f,50,2013,10/17/13,3
do,f,40,2013,12/10/13,9
do,m,45,2013,12/10/13,1
do,f,41,2013,12/11/13,8
do,m,52,2014,1/8/78,4
ds,f,117,2013,11/12/13,9
ds,f,107,2013,11/13/13,4
ds,f,115,2013,11/13/13,4
ds,f,122,2013,11/13/13,11
ds,f,126,2013,11/13/13,11
ds,f,NA,2013,11/13/13,14
ds,m,NA,2013,11/13/13,17
ds,m,NA,2014,1/8/14,2
na,m,218,2014,2/18/14,2
NA,f,115,2014,NA,3
NA,f,182,2014,NA,3
NA,f,NA,2014,NA,3
NA,m,190,2014,NA,3
NA,NA,NA,2014,NA,3
ol,m,35,2014,1/8/78,4
ot,NA,NA,2014,1/8/14,2
ot,f,29,2014,NA,3
ox,NA,NA,2014,1/8/14,2
pf,f,7,2014,1/8/14,2
pf,f,7,2014,2/18/14,2
pf,m,8,2014,NA,3
